case,variant,regime,alpha,gap_pct,p_boot,bh_significant
taskC,baseline,R3_reference,0.3,-0.022174004365486433,0.001,True
taskC,baseline,R3_reference,0.75,0.034283928120253986,0.001,True
taskC,baseline,R1_lean,0.3,-0.022174182735611603,0.001,True
taskC,baseline,R1_lean,0.75,0.034283446657036455,0.001,True
taskC,ar1,R1_lean,0.3,0.17911186293584827,0.001,True
taskC,ar1,R3_reference,0.5,2.9836734527831154e-08,0.001,True
taskC,ar1,R3_reference,0.3,0.17909720935721854,0.001,True
taskC,baseline,R2_varcap,0.75,0.04081032532590611,0.001,True
taskC,ar1,R2_varcap,0.3,0.14368329637788935,0.001,True
taskC,ar1,R1_lean,0.5,2.8321302310784425e-07,0.001,True
taskC,lw,R1_lean,0.3,-0.022173961478119543,0.001,True
taskC,lw,R1_lean,0.75,0.0342838150678966,0.001,True
taskC,lw,R3_reference,0.75,0.03428398341106714,0.001,True
taskC,lw,R3_reference,0.3,-0.02217388822529876,0.001,True
taskC,ar1,R2_varcap,0.75,-3.482616940336186e-07,0.001,True
taskC,ar1,R2_varcap,0.5,-6.184446489745918e-07,0.001,True
taskC,seasonal,R1_lean,0.3,-0.033494366101816456,0.001,True
taskC,seasonal,R3_reference,0.3,-0.03336009918255385,0.001,True
taskC,lw,R2_varcap,0.75,0.04081027331767532,0.001,True
taskc,ablate-flat,R2_varcap,0.3,0.41496519925248965,0.001,True
taskc,ablate-flat,R2_varcap,0.5,0.3005655892844,0.001,True
taskc,ablate-flat,R3_reference,0.3,0.28739181687633697,0.001,True
taskc,ablate-flat,R3_reference,0.5,0.23906510116491708,0.001,True
taskc,ablate-flat,R3_reference,0.75,0.15067752989736657,0.001,True
taskc,baseline,R1_lean,0.75,0.034283446657036455,0.001,True
taskc,baseline,R2_varcap,0.3,0.038436302742193486,0.001,True
taskc,baseline,R2_varcap,0.5,0.029935849713048607,0.001,True
taskc,baseline,R1_lean,0.3,-0.022174182735611603,0.001,True
taskc,baseline,R3_reference,0.3,-0.022174004365486433,0.001,True
taskc,baseline,R3_reference,0.75,0.034283928120253986,0.001,True
taskC,seasonal,R2_varcap,0.5,-0.08209058981398279,0.001,True
taskC,seasonal,R2_varcap,0.3,0.06990989646894458,0.001,True
taskc,ar1,R3_reference,0.3,0.17909720935721854,0.001,True
taskc,ablate-level,R1_lean,0.3,-0.02217418273475047,0.001,True
taskc,ablate-level,R1_lean,0.75,0.034283446655824515,0.001,True
