grid,ceiling_mw,utilization,bind_fraction,spatial_gap_pct,verdict
us_hetero,50.0,0.6,0.556,1.7041,helps
us_hetero,50.0,0.7,0.667,0.6308,helps
us_hetero,50.0,0.8,0.764,0.207,null
us_hetero,50.0,0.9,0.875,0.084,null
us_hetero,75.0,0.6,0.556,1.7041,helps
us_hetero,75.0,0.7,0.667,0.6308,helps
us_hetero,75.0,0.8,0.764,0.207,null
us_hetero,75.0,0.9,0.875,0.084,null
us_west,50.0,0.6,0.583,0.0428,null
us_west,50.0,0.7,0.667,0.7602,helps
us_west,50.0,0.8,0.783,0.3588,null
us_west,50.0,0.9,0.875,0.327,null
us_west,75.0,0.6,0.583,0.0428,null
us_west,75.0,0.7,0.667,0.7602,helps
us_west,75.0,0.8,0.783,0.3588,null
us_west,75.0,0.9,0.875,0.327,null
taskc,50.0,0.6,0.552,0.3899,null
taskc,50.0,0.7,0.667,0.3542,null
taskc,50.0,0.8,0.781,0.3421,null
taskc,50.0,0.9,0.875,0.1711,null
taskc,75.0,0.6,0.552,0.3899,null
taskc,75.0,0.7,0.667,0.3542,null
taskc,75.0,0.8,0.781,0.3421,null
taskc,75.0,0.9,0.875,0.1711,null
