part,grid,setting,mean,std,min,max,frac_positive,n_seeds
3,us_west,M=1.0,-0.3614176615046541,0.14205466556344265,-0.4472635039707021,-0.14893334311747197,0.0,4
3,us_west,M=2.0,0.6064297483664419,0.5909361688019159,0.013802403561445922,1.3971381852588354,1.0,4
3,us_west,M=4.0,4.39460047541625,3.4254501060374642,-0.024493685890908126,8.33819122603326,0.75,4
3,taskc,M=1.0,0.052188884635740555,0.09753516090616858,-0.05090439457172657,0.16449222513302086,0.5,4
3,taskc,M=2.0,-0.1332467644893207,0.49310004863376417,-0.8187275903390607,0.355992842717001,0.25,4
3,taskc,M=4.0,-0.010301111384459716,0.2610904881973249,-0.2190800993114846,0.35187377243957285,0.5,4
3,us_hetero,M=1.0,-0.832628412163618,1.1308675302022393,-1.953136631544437,0.6459739482718675,0.25,4
3,us_hetero,M=2.0,-0.14425069293103232,0.4376853315681568,-0.6029409471700163,0.39613651780572073,0.5,4
3,us_hetero,M=4.0,-0.6920761034608511,0.8128110586821662,-1.6237910841282779,0.29509296375037736,0.25,4
4,us_west,online,0.6520708872826665,0.2827752282423013,0.2727154232015782,0.8776525792717664,1.0,4
4,taskc,online,-0.099791497583096,0.12848159531054432,-0.19974047398165234,0.08739799434524967,0.25,4
4,us_hetero,S=20,-8.235243182079259,1.0307141529718258,-9.003302658402434,-6.7663757183718305,0.0,4
4,us_hetero,S=40,-4.413169857138062,3.788726183917326,-8.491172091680122,-1.143534639041617,0.0,4
4,us_hetero,S=80,-3.3204721261881236,2.633667989086543,-6.117738120923377,-0.11114597498818204,0.0,4
