grid,display,series,threshold_q,threshold,xi,sigma,n_exceed,n_days,upper_endpoint,kind,M,value,lo,hi,date
taskA,California-Nevada,joint,85.0,1.1931,-0.367,0.0837,72.0,1815.0,1.421,return_period,1.5,inf,,,
taskA,California-Nevada,joint,85.0,1.1931,-0.367,0.0837,72.0,1815.0,1.421,return_period,2.0,inf,,,
taskA,California-Nevada,joint,85.0,1.1931,-0.367,0.0837,72.0,1815.0,1.421,return_period,2.5,inf,,,
taskA,California-Nevada,joint,85.0,1.1931,-0.367,0.0837,72.0,1815.0,1.421,return_period,3.0,inf,,,
taskA,California-Nevada,joint,90.0,1.2241,-0.417,0.0756,57.0,1815.0,1.4054,return_period,1.5,inf,,,
taskA,California-Nevada,joint,90.0,1.2241,-0.417,0.0756,57.0,1815.0,1.4054,return_period,2.0,inf,,,
taskA,California-Nevada,joint,90.0,1.2241,-0.417,0.0756,57.0,1815.0,1.4054,return_period,2.5,inf,,,
taskA,California-Nevada,joint,90.0,1.2241,-0.417,0.0756,57.0,1815.0,1.4054,return_period,3.0,inf,,,
taskA,California-Nevada,joint,95.0,1.2623,-0.2733,0.0469,46.0,1815.0,1.4338,return_period,1.5,inf,,,
taskA,California-Nevada,joint,95.0,1.2623,-0.2733,0.0469,46.0,1815.0,1.4338,return_period,2.0,inf,,,
taskA,California-Nevada,joint,95.0,1.2623,-0.2733,0.0469,46.0,1815.0,1.4338,return_period,2.5,inf,,,
taskA,California-Nevada,joint,95.0,1.2623,-0.2733,0.0469,46.0,1815.0,1.4338,return_period,3.0,inf,,,
taskA,California-Nevada,joint,90.0,,,,,,,return_period_boot,2.0,inf,inf,inf,
taskA,California-Nevada,joint,90.0,,,,,,,return_period_boot,3.0,inf,inf,inf,
taskA,California-Nevada,joint,,,,,,,,top_day,1.3791,1.0,,,2022-12-23
taskA,California-Nevada,joint,,,,,,,,top_day,1.3728,2.0,,,2021-07-30
taskA,California-Nevada,joint,,,,,,,,top_day,1.3683,3.0,,,2022-12-22
taskA,California-Nevada,joint,,,,,,,,top_day,1.3641,4.0,,,2022-12-21
taskA,California-Nevada,joint,,,,,,,,top_day,1.3593,5.0,,,2024-11-29
taskA,California-Nevada,zone:US-CAL-CISO,85.0,1.2472,-0.2579,0.0998,88.0,1815.0,1.634,return_period,1.5,3.44,,,
taskA,California-Nevada,zone:US-CAL-CISO,85.0,1.2472,-0.2579,0.0998,88.0,1815.0,1.634,return_period,2.0,inf,,,
taskA,California-Nevada,zone:US-CAL-CISO,85.0,1.2472,-0.2579,0.0998,88.0,1815.0,1.634,return_period,2.5,inf,,,
taskA,California-Nevada,zone:US-CAL-CISO,85.0,1.2472,-0.2579,0.0998,88.0,1815.0,1.634,return_period,3.0,inf,,,
taskA,California-Nevada,zone:US-CAL-CISO,90.0,1.2873,-0.2735,0.0909,61.0,1815.0,1.6198,return_period,1.5,3.41,,,
taskA,California-Nevada,zone:US-CAL-CISO,90.0,1.2873,-0.2735,0.0909,61.0,1815.0,1.6198,return_period,2.0,inf,,,
taskA,California-Nevada,zone:US-CAL-CISO,90.0,1.2873,-0.2735,0.0909,61.0,1815.0,1.6198,return_period,2.5,inf,,,
taskA,California-Nevada,zone:US-CAL-CISO,90.0,1.2873,-0.2735,0.0909,61.0,1815.0,1.6198,return_period,3.0,inf,,,
taskA,California-Nevada,zone:US-CAL-CISO,95.0,1.3368,-0.1414,0.0576,49.0,1815.0,1.7442,return_period,1.5,3.79,,,
taskA,California-Nevada,zone:US-CAL-CISO,95.0,1.3368,-0.1414,0.0576,49.0,1815.0,1.7442,return_period,2.0,inf,,,
taskA,California-Nevada,zone:US-CAL-CISO,95.0,1.3368,-0.1414,0.0576,49.0,1815.0,1.7442,return_period,2.5,inf,,,
taskA,California-Nevada,zone:US-CAL-CISO,95.0,1.3368,-0.1414,0.0576,49.0,1815.0,1.7442,return_period,3.0,inf,,,
taskA,California-Nevada,zone:US-CAL-CISO,90.0,,,,,,,return_period_boot,2.0,inf,inf,inf,
taskA,California-Nevada,zone:US-CAL-CISO,90.0,,,,,,,return_period_boot,3.0,inf,inf,inf,
taskA,California-Nevada,zone:US-CAL-CISO,,,,,,,,top_day,1.5549,1.0,,,2023-11-15
taskA,California-Nevada,zone:US-CAL-CISO,,,,,,,,top_day,1.4836,2.0,,,2022-10-18
taskA,California-Nevada,zone:US-CAL-CISO,,,,,,,,top_day,1.4766,3.0,,,2022-12-03
taskA,California-Nevada,zone:US-CAL-CISO,,,,,,,,top_day,1.453,4.0,,,2023-12-11
taskA,California-Nevada,zone:US-CAL-CISO,,,,,,,,top_day,1.4525,5.0,,,2024-01-19
taskA,California-Nevada,zone:US-CAL-BANC,85.0,1.2632,-0.2968,0.1596,67.0,1815.0,1.8008,return_period,1.5,0.52,,,
taskA,California-Nevada,zone:US-CAL-BANC,85.0,1.2632,-0.2968,0.1596,67.0,1815.0,1.8008,return_period,2.0,inf,,,
taskA,California-Nevada,zone:US-CAL-BANC,85.0,1.2632,-0.2968,0.1596,67.0,1815.0,1.8008,return_period,2.5,inf,,,
taskA,California-Nevada,zone:US-CAL-BANC,85.0,1.2632,-0.2968,0.1596,67.0,1815.0,1.8008,return_period,3.0,inf,,,
taskA,California-Nevada,zone:US-CAL-BANC,90.0,1.3365,-0.4563,0.1643,45.0,1815.0,1.6965,return_period,1.5,0.42,,,
taskA,California-Nevada,zone:US-CAL-BANC,90.0,1.3365,-0.4563,0.1643,45.0,1815.0,1.6965,return_period,2.0,inf,,,
taskA,California-Nevada,zone:US-CAL-BANC,90.0,1.3365,-0.4563,0.1643,45.0,1815.0,1.6965,return_period,2.5,inf,,,
taskA,California-Nevada,zone:US-CAL-BANC,90.0,1.3365,-0.4563,0.1643,45.0,1815.0,1.6965,return_period,3.0,inf,,,
taskA,California-Nevada,zone:US-CAL-BANC,95.0,1.429,-0.5008,0.1249,30.0,1815.0,1.6784,return_period,1.5,0.32,,,
taskA,California-Nevada,zone:US-CAL-BANC,95.0,1.429,-0.5008,0.1249,30.0,1815.0,1.6784,return_period,2.0,inf,,,
taskA,California-Nevada,zone:US-CAL-BANC,95.0,1.429,-0.5008,0.1249,30.0,1815.0,1.6784,return_period,2.5,inf,,,
