grid,display,budget_frac,cvar_reduction_pct,transfer_used
us_west,Western US,0.0,0.0,0.0
us_west,Western US,0.025,1.0668544948539853,120.0
us_west,Western US,0.05,2.058278493188864,240.0
us_west,Western US,0.1,4.396269971968998,480.0
us_west,Western US,0.2,4.037911361883698,960.0
us_west,Western US,0.4,4.037911361883698,1920.0
us_west,Western US,0.8,4.037911361883698,2840.0
taskc,Eastern US-Canada,0.0,0.0,0.0
taskc,Eastern US-Canada,0.025,2.4276398089701408,96.0
taskc,Eastern US-Canada,0.05,4.8584102047489335,192.0
taskc,Eastern US-Canada,0.1,7.775478482438334,384.0
taskc,Eastern US-Canada,0.2,9.907461596787847,768.0
taskc,Eastern US-Canada,0.4,9.907461596787847,1480.0
taskc,Eastern US-Canada,0.8,9.907461596787847,1480.0
us_hetero,Diversified,0.0,0.0,0.0
us_hetero,Diversified,0.025,2.2335432032813123,72.0
us_hetero,Diversified,0.05,4.244055502504484,144.0
us_hetero,Diversified,0.1,7.127875182923406,288.0
us_hetero,Diversified,0.2,9.03736231627367,576.0
us_hetero,Diversified,0.4,9.03736231627367,670.0
us_hetero,Diversified,0.8,9.03736231627367,670.0
